Song Name,Plays
Despues de la Playa ,"492,310,605"
Me Porto Bonito ,"1,581,978,797"
Mi Pregunto,"1,362,700,167"
Un Ratito,"448,592,834"
Yo No Soy Celoso,"333,039,556"
Tarot,"659,113,271"
Neverita,"737,471,155"
La Corriente,"521,138,556"
Efecto,"1,145,790,717"
party,"645,632,351"
Aguacero,"304,511,571"
Ensename a Bailar,"306,345,041"
Ojitos Lindos,"1,247,381,893"
Dos Mil 16,"368,607,749"
El Apagon,"225,592,089"
Otro Atardecer,"356,909,037"
Un Coco,"455,069,076"
Andrea,374732738
Me Fui de Vacaiones,"328,144,073"
Un Verano Sin Ti,"311,358,303"
Agosto,273763282
Callaita,"1,354,397,432"
Moscow Mule,980577948
